Date,Month,Year,Vessel ,Hold_Capacity_tons,Hold_Capacity_kg,Location,No_Fishers,Gear,LAT,LON,Dist_coast,Chita_kg,Total_kg,Percent_Chita,Percent_Chita _actual
1/2/2001,1,2001,BOTE,2.0,1814.4,SAN ANDRES,3,CORTINA/AGALLERA,-13.4348,-76.1310,9.69,2,117,2,0.017094017
1/2/2001,1,2001,CHALANA ,4.0,3628.7,SAN JOSE,4,CORTINA/AGALLERA,-6.4600,-79.5810,1.27,14,2742,1,0.005105762
1/2/2001,1,2001,CABALLITO DE TOTORA ,0.1,90.7,PIMENTEL,22,PINTA ,-6.5000,-79.5600,0.64,6,264,3,0.022727273
1/2/2001,1,2001,CABALLITO DE TOTORA ,0.1,90.7,PIMENTEL,24,PINTA ,-6.5000,-79.5600,1.11,13,569,3,0.0228471
1/2/2001,1,2001,BOTE,4.0,3628.7,SAN JOSE,4,CORTINA/AGALLERA,-6.4600,-79.5810,1.27,25,993,3,0.025176234
1/2/2001,1,2001,LANCHA,18.0,16329.3,SAN JOSE,4,CORTINA/AGALLERA,-6.4600,-79.5810,1.27,6,294,3,0.020408163
1/2/2001,1,2001,BOTE,2.0,1814.4,SALAVERRY,2,CORTINA/AGALLERA,-8.1300,-78.5855,0.14,11,39,29,0.282051282
1/2/2001,1,2001,PERSONA,3.0,2721.6,SAN JOSE,18,CHINCHORRO,-6.4600,-79.5810,0.52,28,680,5,0.041176471
1/2/2001,1,2001,CHALANA ,0.8,725.7,SALAVERRY,1,CORTINA/AGALLERA,-8.1300,-78.5855,0.2,2,15,14,0.133333333
1/2/2001,1,2001,CHALANA ,0.8,725.7,SALAVERRY,3,CORTINA/AGALLERA,-8.1300,-78.5855,0.14,21,47,45,0.446808511
1/2/2001,1,2001,BOTE,1.5,1360.8,SALAVERRY,2,CORTINA/AGALLERA,-8.1300,-78.5855,0.67,8,51,16,0.156862745
1/2/2001,1,2001,CHALANA ,0.8,725.7,SALAVERRY,2,CORTINA/AGALLERA,-8.1300,-78.5855,0.14,6,30,20,0.2
1/2/2001,1,2001,BOTE,2.0,1814.4,HUACHO,2,CORTINA/AGALLERA,-11.0710,-77.3645,0.16,2,107,2,0.018691589
1/2/2001,1,2001,CHALANA ,0.7,635.0,CHIMBOTE,2,PINTA ,-9.0425,-78.3512,1.95,10,10,100,1
1/2/2001,1,2001,NO DEFINIDO ,1.0,907.2,CALLAO,2,PINTA ,-12.0315,-77.0845,2.67,8,15,54,0.533333333
1/2/2001,1,2001,CHALANA ,0.8,725.7,SALAVERRY,1,CORTINA/AGALLERA,-8.1300,-78.5855,0.2,1,10,10,0.1
1/2/2001,1,2001,CHALANA ,0.8,725.7,SALAVERRY,2,CORTINA/AGALLERA,-8.1300,-78.5855,0.14,2,21,10,0.095238095
1/3/2001,1,2001,CHALANA ,0.8,725.7,SALAVERRY,2,CORTINA/AGALLERA,-8.1300,-78.5855,0.2,2,37,6,0.054054054
1/3/2001,1,2001,CHALANA ,0.8,725.7,SALAVERRY,2,CORTINA/AGALLERA,-8.1300,-78.5855,0.2,1,5,20,0.2
1/3/2001,1,2001,BOTE,2.0,1814.4,PUCUSANA,3,CORTINA/AGALLERA,-12.2840,-76.4745,0.08,5,25,20,0.2
1/3/2001,1,2001,CHALANA ,0.8,725.7,SALAVERRY,2,CORTINA/AGALLERA,-8.1300,-78.5855,0.2,1,16,7,0.0625
