LMids,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.5,8.62E-76,9.74E-76,9.86E-76,9.76E-76,9.65E-76,9.57E-76,9.44E-76,9.31E-76,9.21E-76,9.10E-76,9.03E-76,8.96E-76,8.92E-76,8.87E-76,8.85E-76,8.82E-76,8.80E-76,8.77E-76,8.75E-76,8.73E-76,8.72E-76,8.70E-76,8.69E-76,8.69E-76,8.67E-76,8.68E-76,8.66E-76,8.66E-76,8.65E-76,8.65E-76,8.65E-76,8.66E-76,8.64E-76,8.65E-76,8.64E-76,8.64E-76,8.64E-76,8.64E-76,8.64E-76,8.63E-76,8.65E-76,8.64E-76,8.64E-76,8.64E-76,8.63E-76,8.64E-76,8.64E-76,8.62E-76,8.63E-76,8.63E-76
1,4.42E-70,5.00E-70,5.07E-70,5.02E-70,4.96E-70,4.92E-70,4.84E-70,4.78E-70,4.72E-70,4.67E-70,4.63E-70,4.60E-70,4.58E-70,4.56E-70,4.54E-70,4.53E-70,4.52E-70,4.50E-70,4.49E-70,4.49E-70,4.48E-70,4.47E-70,4.47E-70,4.47E-70,4.45E-70,4.46E-70,4.45E-70,4.45E-70,4.44E-70,4.45E-70,4.45E-70,4.45E-70,4.44E-70,4.44E-70,4.44E-70,4.44E-70,4.44E-70,4.44E-70,4.44E-70,4.43E-70,4.44E-70,4.44E-70,4.44E-70,4.44E-70,4.44E-70,4.44E-70,4.44E-70,4.43E-70,4.44E-70,4.43E-70
1.5,1.53E-64,1.73E-64,1.76E-64,1.74E-64,1.72E-64,1.70E-64,1.68E-64,1.66E-64,1.64E-64,1.62E-64,1.61E-64,1.59E-64,1.59E-64,1.58E-64,1.57E-64,1.57E-64,1.57E-64,1.56E-64,1.56E-64,1.55E-64,1.55E-64,1.55E-64,1.55E-64,1.55E-64,1.54E-64,1.55E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64,1.54E-64
2,3.19E-59,3.61E-59,3.66E-59,3.62E-59,3.58E-59,3.55E-59,3.50E-59,3.45E-59,3.41E-59,3.37E-59,3.34E-59,3.32E-59,3.31E-59,3.29E-59,3.28E-59,3.27E-59,3.26E-59,3.25E-59,3.24E-59,3.24E-59,3.23E-59,3.23E-59,3.22E-59,3.22E-59,3.22E-59,3.22E-59,3.21E-59,3.21E-59,3.21E-59,3.21E-59,3.21E-59,3.21E-59,3.21E-59,3.21E-59,3.20E-59,3.21E-59,3.21E-59,3.21E-59,3.21E-59,3.20E-59,3.21E-59,3.20E-59,3.21E-59,3.20E-59,3.20E-59,3.20E-59,3.20E-59,3.20E-59,3.20E-59,3.20E-59
2.5,3.96E-54,4.47E-54,4.54E-54,4.49E-54,4.44E-54,4.40E-54,4.33E-54,4.28E-54,4.23E-54,4.18E-54,4.15E-54,4.12E-54,4.10E-54,4.08E-54,4.07E-54,4.05E-54,4.04E-54,4.03E-54,4.02E-54,4.02E-54,4.01E-54,4.00E-54,4.00E-54,4.00E-54,3.99E-54,3.99E-54,3.98E-54,3.98E-54,3.98E-54,3.98E-54,3.98E-54,3.98E-54,3.97E-54,3.98E-54,3.97E-54,3.97E-54,3.98E-54,3.98E-54,3.98E-54,3.97E-54,3.98E-54,3.97E-54,3.98E-54,3.97E-54,3.97E-54,3.97E-54,3.97E-54,3.97E-54,3.97E-54,3.97E-54
3,2.92E-49,3.30E-49,3.34E-49,3.31E-49,3.27E-49,3.25E-49,3.19E-49,3.15E-49,3.12E-49,3.08E-49,3.06E-49,3.03E-49,3.02E-49,3.01E-49,3.00E-49,2.99E-49,2.98E-49,2.97E-49,2.96E-49,2.96E-49,2.95E-49,2.95E-49,2.95E-49,2.95E-49,2.94E-49,2.94E-49,2.94E-49,2.93E-49,2.93E-49,2.93E-49,2.93E-49,2.94E-49,2.93E-49,2.93E-49,2.93E-49,2.93E-49,2.93E-49,2.93E-49,2.93E-49,2.92E-49,2.93E-49,2.93E-49,2.93E-49,2.93E-49,2.93E-49,2.93E-49,2.93E-49,2.92E-49,2.93E-49,2.92E-49
3.5,1.28E-44,1.44E-44,1.46E-44,1.45E-44,1.43E-44,1.42E-44,1.40E-44,1.38E-44,1.36E-44,1.35E-44,1.34E-44,1.33E-44,1.32E-44,1.32E-44,1.31E-44,1.31E-44,1.31E-44,1.30E-44,1.30E-44,1.30E-44,1.29E-44,1.29E-44,1.29E-44,1.29E-44,1.29E-44,1.29E-44,1.29E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.29E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44,1.28E-44
4,3.32E-40,3.76E-40,3.81E-40,3.77E-40,3.73E-40,3.70E-40,3.64E-40,3.59E-40,3.55E-40,3.51E-40,3.48E-40,3.46E-40,3.44E-40,3.43E-40,3.42E-40,3.40E-40,3.40E-40,3.39E-40,3.38E-40,3.37E-40,3.37E-40,3.36E-40,3.36E-40,3.36E-40,3.35E-40,3.35E-40,3.35E-40,3.34E-40,3.34E-40,3.34E-40,3.34E-40,3.35E-40,3.34E-40,3.34E-40,3.34E-40,3.34E-40,3.34E-40,3.34E-40,3.34E-40,3.33E-40,3.34E-40,3.34E-40,3.34E-40,3.34E-40,3.33E-40,3.34E-40,3.34E-40,3.33E-40,3.34E-40,3.33E-40
4.5,5.14E-36,5.81E-36,5.89E-36,5.83E-36,5.77E-36,5.72E-36,5.63E-36,5.56E-36,5.49E-36,5.43E-36,5.39E-36,5.35E-36,5.33E-36,5.30E-36,5.28E-36,5.27E-36,5.26E-36,5.24E-36,5.22E-36,5.22E-36,5.21E-36,5.20E-36,5.19E-36,5.19E-36,5.18E-36,5.19E-36,5.18E-36,5.17E-36,5.17E-36,5.17E-36,5.17E-36,5.17E-36,5.16E-36,5.17E-36,5.16E-36,5.16E-36,5.17E-36,5.17E-36,5.17E-36,5.16E-36,5.17E-36,5.16E-36,5.17E-36,5.16E-36,5.16E-36,5.16E-36,5.16E-36,5.15E-36,5.16E-36,5.16E-36
5,4.73E-32,5.34E-32,5.42E-32,5.36E-32,5.30E-32,5.26E-32,5.18E-32,5.11E-32,5.05E-32,4.99E-32,4.95E-32,4.92E-32,4.90E-32,4.87E-32,4.86E-32,4.84E-32,4.83E-32,4.81E-32,4.80E-32,4.80E-32,4.79E-32,4.78E-32,4.77E-32,4.77E-32,4.76E-32,4.77E-32,4.76E-32,4.75E-32,4.75E-32,4.75E-32,4.75E-32,4.76E-32,4.75E-32,4.75E-32,4.74E-32,4.75E-32,4.75E-32,4.75E-32,4.75E-32,4.74E-32,4.75E-32,4.75E-32,4.75E-32,4.74E-32,4.74E-32,4.75E-32,4.74E-32,4.74E-32,4.74E-32,4.74E-32
